Gene	Ensembl	MGI	Sum
Gm11733	true	true	2
Gm11937	true	true	2
Gm11938	true	true	2
Gm11939	true	true	2
Gm12185	true	true	2
Gm12216	true	true	2
Gm12253	true	true	2
Gm12258	true	true	2
Gm12353	true	true	2
Gm12689	true	true	2
Gm12830	true	true	2
Gm12845	true	true	2
Gm12886	true	true	2
Gm12887	true	true	2
Gm12888	true	true	2
Gm13030	true	true	2
Gm13090	true	true	2
Gm13199	true	true	2
Gm13272	true	true	2
Gm13277	true	true	2
Gm13278	true	true	2
Gm13279	true	true	2
Gm13285	true	true	2
Gm13288	true	true	2
Gm13289	true	true	2
Gm13290	true	true	2
Gm1330	true	true	2
Gm13398	true	true	2
Gm13539	true	true	2
Gm13941	true	true	2
Gm14139	true	true	2
Gm14147	true	true	2
Gm14151	true	true	2
Gm14180	true	true	2
Gm14190	true	true	2
Gm14288	true	true	2
Gm14295	true	true	2
Gm14296	true	true	2
Gm14308	true	true	2
Gm14326	true	true	2
Gm14327	true	true	2
Gm14393	true	true	2
Gm14399	true	true	2
Gm14401	true	true	2
Gm14403	true	true	2
Gm14406	true	true	2
Gm14408	true	true	2
Gm14409	true	true	2
Gm14410	true	true	2
Gm14412	true	true	2
Gm14418	true	true	2
Gm14419	true	true	2
Gm14434	true	true	2
Gm14440	true	true	2
Gm14443	true	true	2
Gm14444	true	true	2
Gm14496	true	true	2
Gm14692	true	true	2
Gm14743	true	true	2
Gm14744	true	true	2
Gm14862	true	true	2
Gm15023	true	true	2
Gm15056	true	true	2
Gm15080	true	true	2
Gm15085	true	true	2
Gm15091	true	true	2
Gm15093	true	true	2
Gm15097	true	true	2
Gm15107	true	true	2
Gm15114	true	true	2
Gm15127	true	true	2
Gm15128	true	true	2
Gm15130	true	true	2
Gm15155	true	true	2
Gm15217	true	true	2
Gm1527	true	true	2
Gm15433	true	true	2
Gm15446	true	true	2
Gm15517	true	true	2
Gm1553	true	true	2
Gm15557	true	true	2
Gm15737	true	true	2
Gm1604b	true	true	2
Gm16181	true	true	2
Gm16223	true	true	2
Gm16253	true	true	2
Gm16286	true	true	2
Gm16434	true	true	2
Gm16440	true	true	2
Gm16451	true	true	2
Gm16506	true	true	2
Gm17019	true	true	2
Gm17026	true	true	2
Gm17027	true	true	2
Gm17067	true	true	2
Gm17078	true	true	2
Gm17079	true	true	2
Gm17093	true	true	2
Gm17124	true	true	2
Gm17174	true	true	2
Gm17175	true	true	2
Gm17268	true	true	2
Gm17304	true	true	2
Gm17332	true	true	2
Gm17349	true	true	2
Gm17364	true	true	2
Gm17374	true	true	2
Gm17387	true	true	2
Gm17402	true	true	2
Gm17428	true	true	2
Gm17482	true	true	2
Gm17490	true	true	2
Gm17535	true	true	2
Gm17542	true	true	2
Gm17545	true	true	2
Gm17555	true	true	2
Gm17571	true	true	2
Gm17581	true	true	2
Gm17604	true	true	2
Gm17606	true	true	2
Gm17617	true	true	2
Gm17622	true	true	2
Gm17631	true	true	2
Gm17651	true	true	2
Gm17654	true	true	2
Gm17655	true	true	2
Gm17657	true	true	2
Gm17660	true	true	2
Gm17662	true	true	2
Gm17720	true	true	2
Gm17728	true	true	2
Gm17783	true	true	2
Gm17949	true	true	2
Gm19345	true	true	2
Gm19410	true	true	2
Gm19426	true	true	2
Gm19684	true	true	2
Gm1979	true	true	2
Gm19935	true	true	2
Gm19965	true	true	2
Gm2004	true	true	2
Gm2007	true	true	2
Gm20075	true	true	2
Gm2026	true	true	2
Gm20379	true	true	2
Gm20403	true	true	2
Gm20441	true	true	2
Gm20449	true	true	2
Gm20479	true	true	2
Gm20481	true	true	2
Gm20532	true	true	2
Gm20537	true	true	2
Gm20538	true	true	2
Gm20661	true	true	2
Gm20662	true	true	2
Gm20696	true	true	2
Gm20708	true	true	2
Gm20721	true	true	2
Gm20737	true	true	2
Gm20738	true	true	2
Gm20747	true	true	2
Gm20765	true	true	2
Gm20767	true	true	2
Gm20772	true	true	2
Gm20773	true	true	2
Gm20777	true	true	2
Gm20795	true	true	2
Gm20806	true	true	2
Gm20807	true	true	2
Gm20809	true	true	2
Gm20812	true	true	2
Gm20815	true	true	2
Gm20816	true	true	2
Gm20821	true	true	2
Gm20822	true	true	2
Gm20823	true	true	2
Gm20825	true	true	2
Gm20826	true	true	2
Gm20828	true	true	2
Gm20830	true	true	2
Gm20831	true	true	2
Gm20834	true	true	2
Gm20852	true	true	2
Gm20854	true	true	2
Gm20865	true	true	2
Gm20867	true	true	2
Gm20873	true	true	2
Gm20877	true	true	2
Gm20878	true	true	2
Gm20909	true	true	2
Gm20914	true	true	2
Gm20917	true	true	2
Gm20918	true	true	2
Gm20924	true	true	2
Gm21028	true	true	2
Gm21060	true	true	2
Gm21083	true	true	2
Gm21103	true	true	2
Gm21118	true	true	2
Gm21149	true	true	2
Gm21188	true	true	2
Gm21190	true	true	2
Gm21244	true	true	2
Gm21292	true	true	2
Gm21293	true	true	2
Gm21304	true	true	2
Gm21310	true	true	2
Gm21312	true	true	2
Gm21394	true	true	2
Gm21425	true	true	2
Gm21440	true	true	2
Gm21454	true	true	2
Gm21560	true	true	2
Gm21586	true	true	2
Gm21637	true	true	2
Gm21663	true	true	2
Gm21671	true	true	2
Gm21680	true	true	2
Gm21698	true	true	2
Gm21719	true	true	2
Gm21721	true	true	2
Gm21725	true	true	2
Gm21731	true	true	2
Gm2174	true	true	2
Gm21748	true	true	2
Gm21750	true	true	2
Gm21761	true	true	2
Gm21762	true	true	2
Gm21764	true	true	2
Gm21767	true	true	2
Gm21773	true	true	2
Gm21776	true	true	2
Gm21778	true	true	2
Gm21797	true	true	2
Gm21798	true	true	2
Gm21800	true	true	2
Gm21812	true	true	2
Gm21818	true	true	2
Gm21820	true	true	2
Gm21822	true	true	2
Gm21828	true	true	2
Gm21830	true	true	2
Gm21833	true	true	2
Gm21834	true	true	2
Gm21836	true	true	2
Gm21854	true	true	2
Gm21863	true	true	2
Gm21866	true	true	2
Gm21874	true	true	2
Gm21882	true	true	2
Gm21886	true	true	2
Gm21891	true	true	2
Gm21897	true	true	2
Gm21903	true	true	2
Gm21904	true	true	2
Gm21905	true	true	2
Gm21913	true	true	2
Gm21915	true	true	2
