Gene	Ensembl	Sum
Dsg1b	true	1
Dsg1c	true	1
Dsg2	true	1
Dsg3	true	1
Dsg4	true	1
Dtnb	true	1
Dusp3	true	1
Duxf3	true	1
Dynap	true	1
Dynll1	true	1
E030018B13Rik	true	1
E030025P04Rik	true	1
E030030I06Rik	true	1
E130114P18Rik	true	1
E130116L18Rik	true	1
E130208F15Rik	true	1
E130218I03Rik	true	1
E230025N22Rik	true	1
E330021D16Rik	true	1
Ech1	true	1
Eef1a1	true	1
Eef1akmt2	true	1
Efcab15	true	1
Egfem1	true	1
Eif1	true	1
Eif1a	true	1
Eif1ad10	true	1
Eif1ad11	true	1
Eif1ad12	true	1
Eif1ad13	true	1
Eif1ad14	true	1
Eif1ad15	true	1
Eif1ad16	true	1
Eif1ad17	true	1
Eif1ad18	true	1
Eif1ad19	true	1
Eif1ad2	true	1
Eif1ad3	true	1
Eif1ad4	true	1
Eif1ad6	true	1
Eif1ad7	true	1
Eif1ad8	true	1
Eif3k	true	1
Elobl	true	1
Erbb3	true	1
Ercc6l2	true	1
Erv3	true	1
Esp1	true	1
Esp15	true	1
Esp16	true	1
Esp18	true	1
Esp22	true	1
Esp23	true	1
Esp24	true	1
Esp3	true	1
Esp31	true	1
Esp34	true	1
Esp36	true	1
Esp38	true	1
Esp4	true	1
Esp5	true	1
Esp6	true	1
Esp8	true	1
Esyt1	true	1
Etd	true	1
Ezhip	true	1
F830016B08Rik	true	1
F830045P16Rik	true	1
Fads2b	true	1
Fam169b	true	1
Fam241b	true	1
Fam24a	true	1
Fam24b	true	1
Fam47c	true	1
Fate1	true	1
Fbxl21	true	1
Fbxo17	true	1
Fbxo27	true	1
Fbxw17	true	1
Fbxw9	true	1
Fcf1	true	1
Fcgbp	true	1
Fcgrt	true	1
Fcna	true	1
Fcor	true	1
Fcrl6	true	1
Fdxr	true	1
Fer1l4	true	1
Fga	true	1
Fhl1	true	1
Fip1l1	true	1
Fkbp2	true	1
Flt3l	true	1
Fmo6	true	1
Fmo9	true	1
Fnd3c2	true	1
Fndc3c1	true	1
Frg1	true	1
Fsip2l	true	1
Ftdc1	true	1
Ftdc2	true	1
Fthl17a	true	1
Fthl17b	true	1
Fthl17c	true	1
Fthl17d	true	1
Fthl17e	true	1
Fthl17f	true	1
Fut2	true	1
Fv1	true	1
Fxyd5	true	1
G430095P16Rik	true	1
Gabra3	true	1
Gabre	true	1
Gabrq	true	1
Gas2l3	true	1
Gbp3	true	1
Gbp7	true	1
Gcsh	true	1
Gdf11	true	1
Get1	true	1
Ggnbp1	true	1
Ggta1	true	1
Gimap9	true	1
Gja1	true	1
Glra4	true	1
Glrp1	true	1
Glrx2	true	1
Gls2	true	1
Glt28d2	true	1
Glud1	true	1
Glycam1	true	1
Gm10033	true	1
Gm10061	true	1
Gm10128	true	1
Gm10130	true	1
Gm10131	true	1
Gm10135	true	1
Gm10139	true	1
Gm10160	true	1
Gm10181	true	1
Gm10188	true	1
Gm10190	true	1
Gm10197	true	1
Gm10198	true	1
Gm10203	true	1
Gm10217	true	1
Gm10220	true	1
Gm10226	true	1
Gm10228	true	1
Gm10229	true	1
Gm10234	true	1
Gm10251	true	1
Gm10267	true	1
Gm10271	true	1
Gm10277	true	1
Gm10282	true	1
Gm10283	true	1
Gm10302	true	1
Gm10309	true	1
Gm10310	true	1
Gm10337	true	1
Gm10338	true	1
Gm10340	true	1
Gm10354	true	1
Gm10375	true	1
Gm10376	true	1
Gm10377	true	1
Gm10378	true	1
Gm10401	true	1
Gm10406	true	1
Gm10408	true	1
Gm10409	true	1
Gm10413	true	1
Gm10428	true	1
Gm10439	true	1
Gm10471	true	1
Gm10490	true	1
Gm10491	true	1
Gm10521	true	1
Gm10563	true	1
Gm10643	true	1
Gm10662	true	1
Gm10663	true	1
Gm10665	true	1
Gm10668	true	1
Gm10670	true	1
Gm10715	true	1
Gm10717	true	1
Gm10718	true	1
Gm10719	true	1
Gm10720	true	1
Gm10721	true	1
Gm10722	true	1
Gm10770	true	1
Gm10772	true	1
Gm10775	true	1
Gm10778	true	1
Gm10799	true	1
Gm10800	true	1
Gm10801	true	1
Gm10944	true	1
Gm10945	true	1
Gm10959	true	1
Gm10961	true	1
Gm10964	true	1
Gm10974	true	1
Gm10985	true	1
Gm10999	true	1
Gm11007	true	1
Gm11009	true	1
Gm11011	true	1
Gm11020	true	1
Gm11027	true	1
Gm11032	true	1
Gm11034	true	1
Gm11037	true	1
Gm11042	true	1
Gm11060	true	1
Gm11077	true	1
Gm11084	true	1
Gm11096	true	1
Gm11099	true	1
Gm1110	true	1
Gm11111	true	1
Gm11114	true	1
Gm11115	true	1
Gm11116	true	1
Gm11146	true	1
Gm11168	true	1
Gm11172	true	1
Gm11213	true	1
Gm11232	true	1
Gm1140	true	1
Gm1141	true	1
Gm11444	true	1
Gm11541	true	1
Gm11559	true	1
Gm11562	true	1
Gm11565	true	1
Gm11567	true	1
Gm11568	true	1
Gm11627	true	1
Gm11733	true	1
